Year,Month,Month_Name,Flood,Drought_Label,CO2,Cloud_Amount,Dew_Point,MSL_ArabianSea,MSL_BayOfBengal,MSL_IndianOcean,Max_Temp,Mean_Temp,Min_Temp,PM2_5,Precipitation,SPEI_12,SPEI_3,SPEI_6,SPI_12,SPI_3,SPI_6,Shortwave_Radiation,Vapour_Pressure,Wind_Speed
1995,1,Jan,0,No,0.0,1.519,0.0012,0.001,0.002,0.0004,0.01077,0.0029,0.0002,0.033,0.0067,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,1.794,0.0005,0.002
1995,2,Feb,0,No,0.0,1.519,0.001,0.0009,0.002,0.0001,0.0005957,0.0127,0.0002,0.033,0.0067,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0005,0.00028
1995,3,Mar,0,No,0.0,1.519,0.001,0.0009,0.002,0.0001,0.008,0.0001,0.0004,0.033,0.0067,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0019,0.00028
1995,4,Apr,0,No,0.0,1.519,0.001,0.0003,0.0019,2.493,0.008,0.0018,0.00196,0.033,0.0067,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0019,0.00028
1995,5,May,0,No,0.0,1.519,0.001,0.0003,0.0019,0.0004,0.0005,0.0001,0.0016,0.033,0.008,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0075,0.002
1995,6,June,0,No,0.0,1.519,0.001,0.0009,0.0019,0.008,0.008,0.0018,0.0016,0.033,0.008,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0075,0.001
1995,7,July,0,No,0.0,0.008,0.2644,0.001,0.002,0.0001,0.0005,0.0001,0.00196,0.033,0.0067,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,1.794,0.0019,0.001
1995,8,Aug,0,No,0.0,1.519,0.001,0.001,0.002,0.0004,0.0005,0.0001,0.00196,0.033,0.008,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0075,0.002
1995,9,Sep,0,No,0.0,1.519,0.001,0.001,0.0002,0.0004,0.0005,0.0001,0.00196,0.033,0.008,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,9.618,0.0075,0.002
1995,10,Oct,0,No,0.0,0.008,0.2644,0.001,0.0002,0.0004,0.0005957,0.0127,0.0004,0.033,0.0067,0.0008,0.001,0.0002,0.0017,0.0001,0.0001,1.794,0.0019,0.005
1995,11,Nov,0,No,0.0,0.008,0.2644,0.001,0.0002,0.0004,0.0005957,0.0127,0.0004,0.033,0.0067,0.0008,0.004,0.0002,0.0017,0.0001,0.0001,1.794,0.0019,0.005
1995,12,Dec,0,No,0.0,0.008,0.2644,0.001,0.002,0.0001,0.0005957,0.0029,0.0002,0.033,0.005,0.036,0.004,0.025,0.0017,0.0,0.0001,1.794,0.0015,0.001
1996,1,Jan,1,No,0.0,0.008,0.2644,0.0009,0.002,0.0001,0.0005957,0.0029,0.0002,0.033,0.005,0.0012,0.0004,0.106,0.0017,0.0,0.0001,1.794,0.0015,0.002
1996,2,Feb,1,No,0.0,1.519,0.001,0.0009,0.002,0.0001,0.0005957,0.0127,0.0002,0.033,0.005,0.0012,0.0,0.0188,0.0017,0.0694,0.0,9.618,0.0015,0.002
1996,3,Mar,1,No,0.0,0.008,0.2644,0.0009,0.0019,0.008,0.008,0.0001,0.0002,0.033,0.005,0.0012,0.0004,0.0188,0.0017,0.0001,0.0,0.0004,0.0015,0.00028
