Months,Average of Max temp,Average of mean,Average of Min,Average of Vapour Pressure,Average of wind speed,Average of precitation,Average of shortwave radiation,Average of Mean Dew point,Cloud Amount,CO2,PM2.5,Mean Sea level Bay ofBengal,Mean sea level Arabian sea,Mea sea level Indian ocean,SPI_3,SPI_6,SPI_12,SPEI_3,SPEI_6,SPEI_12,DroughtBinary,Year,ClassLabel
5,4,5,2,1,1,2,1,2,0,4,4,2,2,4,4,4,4,4,4,4,1,1995,Normal
4,2,2,2,1,2,4,0,2,1,4,4,2,1,2,4,4,4,4,4,4,1,1995,Normal
8,0,1,1,3,2,2,0,2,1,4,4,2,1,2,4,4,4,4,4,4,1,1995,Normal
0,0,0,0,3,2,2,0,0,1,4,4,1,0,3,4,4,4,4,4,4,1,1995,Normal
10,1,1,3,0,1,0,0,3,0,4,4,1,0,0,4,4,4,4,4,4,1,1995,Normal
7,0,0,3,0,0,1,0,0,0,4,4,1,1,1,4,4,4,4,4,4,1,1995,Normal
6,1,1,0,3,0,1,1,0,3,4,4,2,2,2,4,4,4,4,4,4,1,1995,Normal
1,1,1,0,0,1,0,0,0,0,4,4,2,2,4,4,4,4,4,4,4,1,1995,Normal
14,1,1,0,0,1,1,0,0,0,4,4,3,2,4,4,4,4,4,4,4,1,1995,Normal
13,2,2,1,3,3,0,1,3,0,4,4,3,2,4,4,4,4,4,4,4,1,1995,Normal
12,2,2,1,3,3,0,1,0,0,4,4,3,2,4,4,4,4,3,4,4,1,1995,Normal
3,2,5,2,2,0,4,1,2,2,4,4,2,2,2,3,4,4,3,0,0,1,1995,Normal
5,2,5,2,2,1,4,1,3,2,4,4,2,1,2,3,4,4,6,3,3,1,1996,Flood
4,2,2,2,2,1,3,0,2,1,4,4,2,1,2,6,3,4,1,6,3,1,1996,Flood
8,0,1,2,2,2,4,3,3,2,4,4,1,1,1,4,3,4,6,6,3,1,1996,Flood
0,0,3,0,0,3,1,0,0,0,4,4,1,0,1,4,3,4,4,6,3,1,1996,Flood
10,3,3,3,3,1,2,0,3,1,4,4,1,0,3,4,3,3,3,0,3,1,1996,Flood
7,1,1,0,0,0,0,1,0,0,4,4,1,1,1,4,4,4,4,4,3,1,1996,Flood
6,1,1,0,1,0,1,1,1,3,4,4,2,2,3,4,4,4,4,4,3,1,1996,Flood
1,1,1,0,3,0,1,1,1,3,4,4,3,2,4,4,4,3,4,4,6,1,1996,Flood
14,3,2,1,3,1,0,1,3,3,4,4,3,4,4,4,4,4,4,4,3,1,1996,Flood
13,2,2,1,0,3,0,1,0,0,4,4,3,4,4,4,4,4,4,4,3,1,1996,Flood
12,2,2,2,1,2,1,1,1,0,4,4,3,4,4,4,4,4,4,4,3,1,1996,Flood
3,4,5,2,1,1,0,2,1,0,4,4,3,2,4,4,4,4,4,4,4,1,1996,Flood
5,2,5,2,3,1,2,1,2,1,4,4,3,2,4,4,4,4,4,4,4,1,1997,Normal
4,3,2,2,2,2,4,0,4,2,4,4,3,2,4,4,4,4,4,4,4,1,1997,Normal
8,0,1,1,3,2,3,0,2,2,4,4,2,2,2,4,4,4,3,3,4,1,1997,Normal
0,3,1,0,3,3,3,0,1,1,4,4,1,1,1,4,4,4,4,3,4,1,1997,Normal
10,3,3,3,0,2,1,0,0,0,4,4,1,0,0,4,4,4,3,4,4,1,1997,Normal
7,3,0,3,3,0,1,0,1,0,4,4,1,0,3,4,3,4,4,4,4,1,1997,Normal
6,3,1,3,3,0,1,1,1,3,4,4,1,1,1,4,4,4,4,4,4,1,1997,Normal
1,3,1,0,1,0,2,1,1,3,4,4,2,2,4,4,4,4,4,4,4,1,1997,Normal
14,3,1,0,0,2,1,0,0,0,4,4,2,2,4,4,4,4,4,4,0,1,1997,Normal
13,2,2,1,0,3,0,1,0,0,4,4,2,2,2,4,4,4,4,4,4,1,1997,Normal
12,3,5,1,3,3,0,2,3,3,4,4,2,1,2,2,0,4,5,0,4,1,1997,Normal
3,3,5,2,0,2,0,2,0,0,4,4,2,1,2,5,2,4,5,0,0,1,1997,Normal
5,2,5,2,1,1,4,1,1,2,4,4,2,1,2,0,2,4,0,0,0,1,1998,Normal
